parkName,parkDescription
Magic Kingdom,"Magic Kingdom is a theme park at Walt Disney World Resort that's known for its iconic attractions, fireworks, parades, and Disney characters"
Epcot,"Epcot is a theme park at Walt Disney World Resort that is broken up into two sections: Future World which has attractions about technology, space, and the future, and The World Showcase which includes small areas dedicated to different contries aroudn the world"
Hollywood Studios,"Hollywood Studios is a theme park at Walt Disney World Resort that was inspired by show business and an operating production studio, and now includes attractions and shows based on famous media produced by the Disney company"
Animal Kingdom,"Animal Kingdom is a theme park at Walt Disney World that is designed to have a zoological theme to it. The park features over 2,000 animals across 300 species, hundreds of live animal exhibits, and traditional theme park elements"
